Wavelenght,C 1.1,DH1R,DH2.1T,DH3.1,H1Bl Hair,H1c- hair,H2.1T Hair,N1TT_good,N2.2ML_28,N3.1TT,N3.1TT_Good,R1_22,R1Sc_24,R2_good,R3.1TStraw,R4.1_23,R5_17,R6_18,R7_20,SP2.1E,SP13.1C,SP13.2B,SP-bev,SS 1.1,UN1
1348.7218,94.42626,93.645588,83.958085,97.496215,92.928237,93.407857,94.2976,82.53589,92.839487,99.635521,88.322441,95.199243,92.026449,94.876379,92.088356,89.352333,91.304036,6.687907,54.78983,93.516429,94.518687,90.764659,95.152928,87.447531,93.977562
1348.962858,94.414681,93.543103,83.883503,97.459351,92.922849,93.455917,94.283045,82.941401,92.826033,99.636041,88.315106,95.151441,91.965774,94.867682,91.991557,89.466599,91.269863,6.686636,54.72301,93.511922,94.499808,90.759554,95.041417,87.390477,93.975963
1349.203916,94.40336,93.435872,83.806416,97.420891,92.917516,93.501661,94.268756,83.326237,92.812757,99.636493,88.305436,95.101824,91.90234,94.859038,91.890742,89.575665,91.234493,6.685264,54.655663,93.507636,94.481509,90.75472,94.92472,87.331468,93.974571
1349.444975,94.392344,93.323676,83.72673,97.380762,92.912278,93.545172,94.254765,83.690971,92.799688,99.63691,88.293815,95.050297,91.836017,94.850484,91.785736,89.679542,91.197861,6.683774,54.587849,93.503545,94.463825,90.750177,94.802579,87.270419,93.973359
1349.686033,94.38168,93.206299,83.644348,97.338899,92.907177,93.586532,94.241105,84.036238,92.786856,99.63733,88.280625,94.996771,91.76668,94.842062,91.676366,89.778273,91.159904,6.682148,54.519624,93.499621,94.446785,90.745941,94.674735,87.207253,93.972299
1349.927092,94.371417,93.083529,83.559177,97.295235,92.902255,93.625825,94.227809,84.362725,92.774287,99.63779,88.266246,94.941162,91.694209,94.833812,91.56246,89.871925,91.120561,6.680371,54.451043,93.495833,94.430409,90.742027,94.540933,87.141897,93.971359
1350.16815,94.361603,92.955166,83.47112,97.249712,92.897554,93.663136,94.214906,84.671151,92.762008,99.638329,88.251049,94.883393,91.618497,94.825777,91.443856,89.960589,91.079773,6.678428,54.382161,93.492149,94.414711,90.738442,94.400929,87.074287,93.970506
1350.409208,94.352281,92.82102,83.380089,97.202275,92.893116,93.698545,94.202423,84.962256,92.750042,99.638982,88.23539,94.823394,91.539447,94.817996,91.320401,90.044372,91.037487,6.676302,54.313026,93.488533,94.399696,90.73519,94.254495,87.004368,93.969705
1350.650267,94.34349,92.680926,83.286001,97.152883,92.888977,93.732131,94.190386,85.236791,92.738404,99.63978,88.219611,94.761109,91.45698,94.810505,91.191957,90.1234,90.993659,6.673979,54.243687,93.484952,94.38536,90.732269,94.101427,86.9321,93.968919
1350.891325,94.335264,92.534743,83.188785,97.101502,92.885172,93.763974,94.178814,85.495505,92.727106,99.640748,88.204036,94.696494,91.371036,94.803335,91.058409,90.197805,90.948249,6.671445,54.174184,93.481368,94.371694,90.729671,93.941554,86.857454,93.968109
1351.132384,94.327628,92.382364,83.088386,97.048114,92.881729,93.794146,94.167723,85.739137,92.716153,99.641907,88.188964,94.62952,91.281581,94.796514,90.91967,90.267732,90.901234,6.668687,54.104558,93.477745,94.358677,90.727385,93.774747,86.780423,93.967234
1351.373442,94.320601,92.223726,82.984768,96.992716,92.878671,93.822721,94.157125,85.968408,92.705543,99.643268,88.174673,94.560179,91.188611,94.790059,90.775686,90.333328,90.852599,6.665692,54.034843,93.474047,94.346284,90.725389,93.600927,86.701015,93.966254
1351.6145,94.314189,92.058816,82.877923,96.935327,92.876013,93.849766,94.147028,86.184016,92.695264,99.644834,88.161413,94.488483,91.092155,94.783982,90.626448,90.394744,90.802349,6.662448,53.965068,93.470236,94.334478,90.723662,93.420078,86.619266,93.965127
1351.855559,94.308393,91.887679,82.767876,96.875985,92.873766,93.875348,94.137434,86.386628,92.685299,99.646602,88.149407,94.414472,90.992282,94.778286,90.471998,90.452133,90.750504,6.658945,53.895261,93.466277,94.323218,90.722173,93.232255,86.535237,93.963814
1352.096617,94.303199,91.71043,82.654687,96.814755,92.871932,93.899532,94.128343,86.57688,92.675623,99.648557,88.138854,94.338214,90.889103,94.772967,90.312436,90.505644,90.697106,6.655174,53.825443,93.462136,94.312457,90.72089,93.037598,86.449018,93.962275
1352.337676,94.298588,91.527259,82.538463,96.751729,92.87051,93.922379,94.119752,86.755372,92.666205,99.650681,88.129924,94.259809,90.782781,94.768012,90.147931,90.555426,90.642216,6.651125,53.755633,93.457779,94.302138,90.719777,92.836336,86.360732,93.960475
1352.578734,94.294526,91.338444,82.41936,96.687028,92.869489,93.943949,94.111653,86.92267,92.657008,99.652948,88.122761,94.179394,90.673528,94.763401,89.978729,90.601624,90.585922,6.646792,53.685845,93.453177,94.292204,90.718795,92.628802,86.270537,93.958379
1352.819793,94.290972,91.144353,82.297588,96.620806,92.868858,93.964301,94.104039,87.079301,92.64799,99.655326,88.117487,94.097145,90.561615,94.759107,89.805158,90.644379,90.528333,6.64217,53.616094,93.4483,94.282588,90.717904,92.415436,86.178627,93.95596
1353.060851,94.287878,90.945454,82.173415,96.553247,92.868598,93.983493,94.0969,87.225754,92.639108,99.657782,88.1142,94.013278,90.44737,94.755096,89.627634,90.683829,90.469585,6.637254,53.54639,93.443124,94.273223,90.717065,92.196795,86.085238,93.953193
1353.301909,94.285184,90.742318,82.047173,96.484572,92.86869,94.001583,94.090227,87.362487,92.630316,99.660281,88.112976,93.928053,90.331183,94.751332,89.446668,90.720105,90.409842,6.632042,53.476744,93.437626,94.26404,90.716237,91.973555,85.990645,93.95006
1353.542968,94.282826,90.535621,81.919255,96.415033,92.869115,94.018625,94.084015,87.489922,92.621571,99.662788,88.113876,93.841774,90.213504,94.747775,89.262867,90.753336,90.34929,6.626534,53.407164,93.431788,94.254964,90.715383,91.746511,85.895161,93.946548
1353.784026,94.280735,90.326144,81.790121,96.344916,92.869852,94.034677,94.078258,87.608449,92.612831,99.665275,88.116944,93.75479,90.094842,94.744381,89.076933,90.783648,90.288144,6.620731,53.33766,93.425594,94.245924,90.714467,91.516579,85.799141,93.942651
